File,BestValue_BnB,Weight_BnB,Time_BnB_ms,BestValue_GA,Weight_GA,Time_GA_ms
ks_10000_0,1110269,999438,73,1110908,999999,6120
ks_1000_0,110939,99966,1,111020,99991,586
ks_100_0,100158,99954,0,100158,99954,72
ks_100_2,11015,9994,2,11013,9995,87
ks_19_0,79834,31017,14,79954,31177,22
ks_200_0,90000,90001,4,99784,99819,118
ks_30_0,99846,99798,82,99168,99084,30
ks_40_0,99751,99753,0,99896,99913,32
ks_45_0,153924,58162,1,153804,58102,52
ks_4_0,5,10,0,5,10,8
ks_500_0,55443,49993,1,55456,49996,315
ks_50_0,833650,340825,0,831734,340967,47
ks_50_1,5382,4993,1,5391,4998,51
ks_60_0,100002,99876,886,100002,99876,50
