Filename,Max Value,Total Weight,Items Selected,Execution Time (s)
ks_10000_0,1099870,1000000,18,0.011
ks_1000_0,109869,99972,19,0.001
ks_100_1,1333635,3190770,7,0.000
ks_100_2,10892,9999,10,0.000
ks_19_0,11981,30162,4,0.000
ks_200_0,100062,99781,3,0.000
ks_200_1,1103442,2640084,6,0.000
ks_300_0,1688584,4040068,9,0.000
ks_30_0,90000,90001,1,0.000
ks_400_0,3966813,9485926,7,0.001
ks_40_0,96474,96362,7,0.000
ks_45_0,23974,58148,2,0.000
ks_4_0,18,9,2,0.000
ks_500_0,54891,49972,13,0.001
ks_50_0,141956,341012,5,0.000
ks_50_1,5326,4980,13,0.000
ks_60_0,90000,90001,1,0.000
